first_s	last_s	max_size	max_blocks	path
102.6	273.4	4563402752	4563406848	.build-tmp/column-8.arena
284.4	333.5	1682430130	1682436096	v00000/partitions/default/views/geo/segments/seg-0/columns.arrow
102.6	244.3	1342177280	1342181376	.build-tmp/column-3.arena
244.8	333.5	1031654690	1031659520	v00000/partitions/default/attrs/record/blocks.bin
102.6	273.4	1006312728	1006485504	.build-tmp/column-7.at
102.6	244.3	1006312728	1006485504	.build-tmp/column-2.at
7.5	188.7	1006312728	1006317568	.build-tmp/source-ids.u64
273.4	333.5	519605474	519610368	v00000/partitions/default/attrs/record/directory.arrow
189.7	217.3	517771117	517775360	.build-tmp/member-table.spill
279.4	333.5	503324672	503324672	v00000/partitions/default/views/geo/permutation.bin
56.1	275.9	503156364	503160832	.build-tmp/x-of-ordinal-0.u32
56.1	275.9	503156364	503160832	.build-tmp/y-of-ordinal-0.u32
64.6	333.5	503156368	503160832	v00000/partitions/default/entities/terms/offsets.u32
64.6	333.5	503156364	503160832	v00000/partitions/default/entities/terms/terms.u32
64.6	332.0	503156364	503160832	.build-tmp/entity-of-ordinal.u32
273.9	285.4	503156364	503160832	.build-tmp/x-of-entity.u32
273.9	285.4	503156364	503160832	.build-tmp/y-of-entity.u32
278.9	333.5	503156364	503160832	v00000/partitions/default/views/geo/segments/seg-0/morton.u32
280.4	333.5	503156364	503160832	v00000/partitions/default/views/geo/row-entity.u32
331.5	333.5	503156380	503160832	v00000/partitions/default/row-column/row-column-000000-001.tslb
332.0	333.5	503156380	503160832	v00000/partitions/default/row-column/row-column-000000-002.tslb
241.3	333.5	488795770	488800256	v00000/partitions/default/attrs/specieskey/values.arrow
218.3	241.3	473983152	473989120	v00000/partitions/default/attrs/specieskey/values.arrow.spool
234.8	240.8	473983152	473989120	v00000/partitions/default/attrs/specieskey/keyword-ordinals.scratch
214.8	333.5	326472875	326475776	v00000/partitions/default/members/members-000000-002.tsmb
212.3	333.5	278538037	278540288	v00000/partitions/default/members/members-000000-001.tsmb
244.3	333.5	258407802	258412544	v00000/partitions/default/attrs/year/values.arrow
64.6	102.1	254325481	254332928	.build-tmp/band-0.pairs
102.6	244.3	251578182	251699200	.build-tmp/column-5.col
331.0	333.5	251578198	251580416	v00000/partitions/default/row-column/row-column-000000-000.tslb
241.8	243.8	243206776	243212288	v00000/partitions/default/attrs/year/values.arrow.spool
211.3	333.5	238738645	238743552	v00000/partitions/default/members/members-000000-000.tsmb
102.6	147.2	134217728	134221824	.build-tmp/column-18.arena
102.6	332.0	125789091	125796352	.build-tmp/column-0.col
282.4	284.9	125789091	125792256	.build-tmp/column-20.col
176.7	204.3	106926072	106926080	.build-tmp/member-run-0003.spill
183.7	204.3	104877317	104878080	.build-tmp/member-run-0004.spill
155.7	204.3	103977954	103981056	.build-tmp/member-run-0000.spill
168.7	204.3	101826332	101830656	.build-tmp/member-run-0002.spill
232.3	240.3	95068068	95068160	v00000/partitions/default/attrs/specieskey/keyword-run-00001.spill
224.8	240.3	93349378	93356032	v00000/partitions/default/attrs/specieskey/keyword-run-00000.spill
161.7	204.3	91434386	91435008	.build-tmp/member-run-0001.spill
102.6	147.2	67108864	67108864	.build-tmp/column-13.arena
189.2	204.3	57753458	57753600	.build-tmp/member-run-0005.spill
102.6	147.2	28633112	28635136	.build-tmp/column-12.at
102.6	147.2	28633112	28635136	.build-tmp/column-17.at
102.6	244.3	15723640	15749120	.build-tmp/column-4.present
102.6	332.0	15723640	15749120	.build-tmp/column-1.present
102.6	244.3	15723640	15740928	.build-tmp/column-6.present
102.6	273.4	15723640	15740928	.build-tmp/column-9.present
282.4	283.9	15723640	15724544	.build-tmp/column-21.present
241.8	333.5	10659604	10661888	v00000/partitions/default/attrs/specieskey/presence.roaring
102.6	147.2	7158278	7159808	.build-tmp/column-15.col
102.6	147.2	3579139	3579904	.build-tmp/column-10.col
244.3	333.5	2888122	2891776	v00000/partitions/default/attrs/year/presence.roaring
234.8	333.5	2312606	2314240	v00000/partitions/default/attrs/specieskey/dict.bin
332.5	333.5	2002256	2002944	v00000/partitions/default/containment/containment-000000-002.tscp
98.6	333.5	1056194	1056768	v00000/partitions/default/terms/pairs.parquet
102.6	147.2	447400	450560	.build-tmp/column-14.present
102.6	147.2	447400	450560	.build-tmp/column-16.present
102.6	147.2	447400	450560	.build-tmp/column-19.present
102.6	147.2	447400	450560	.build-tmp/column-11.present
332.5	333.5	367056	368640	v00000/partitions/default/containment/containment-000000-001.tscp
332.5	333.5	47524	49152	v00000/partitions/default/containment/containment-000000-000.tscp
102.6	333.5	33714	36864	v00000/partitions/default/terms/postings.arrow
98.6	333.5	27124	28672	v00000/partitions/default/entities/terms/hasrow.roaring
98.6	102.1	27825	28672	.build-tmp/postings.spool
273.4	333.5	27124	28672	v00000/partitions/default/attrs/record/hasrow.roaring
218.3	333.5	20096	20480	reports/containment.json
333.5	333.5	7280	8192	v00000/MANIFEST.json
333.5	333.5	5694	8192	v00000/partitions/default/SEGMENTS-0.json
37.5	333.5	1530	4096	v00000/dictionary/terms-0.dict
333.5	333.5	113	4096	CURRENT
333.5	333.5	1461	4096	reports/disclosure.json
