first_s	last_s	max_size	max_blocks	path
101.3	281.7	4563402752	4563406848	.build-tmp/column-8.arena
294.1	343.1	1682430130	1682436096	v00000/partitions/default/views/geo/segments/seg-0/columns.arrow
101.3	250.7	1342177280	1342181376	.build-tmp/column-3.arena
251.2	343.1	1031654690	1031659520	v00000/partitions/default/attrs/record/blocks.bin
101.3	281.7	1006312728	1006481408	.build-tmp/column-7.at
101.3	250.7	1006312728	1006465024	.build-tmp/column-2.at
7.0	190.4	1006312728	1006317568	.build-tmp/source-ids.u64
281.7	343.1	519605474	519610368	v00000/partitions/default/attrs/record/directory.arrow
192.7	221.2	517771117	517775360	.build-tmp/member-table.spill
288.2	343.1	503324672	503328768	v00000/partitions/default/views/geo/permutation.bin
54.4	284.2	503156364	503160832	.build-tmp/x-of-ordinal-0.u32
54.4	284.2	503156364	503160832	.build-tmp/y-of-ordinal-0.u32
63.3	343.1	503156368	503160832	v00000/partitions/default/entities/terms/offsets.u32
63.3	343.1	503156364	503160832	v00000/partitions/default/entities/terms/terms.u32
63.3	341.6	503156364	503160832	.build-tmp/entity-of-ordinal.u32
282.2	295.1	503156364	503160832	.build-tmp/x-of-entity.u32
282.2	295.6	503156364	503160832	.build-tmp/y-of-entity.u32
287.7	343.1	503156364	503160832	v00000/partitions/default/views/geo/segments/seg-0/morton.u32
289.2	343.1	503156364	503160832	v00000/partitions/default/views/geo/row-entity.u32
341.1	343.1	503156380	503160832	v00000/partitions/default/row-column/row-column-000000-001.tslb
341.6	343.1	503156380	503160832	v00000/partitions/default/row-column/row-column-000000-002.tslb
248.2	343.1	488795770	488800256	v00000/partitions/default/attrs/specieskey/values.arrow
222.2	248.2	473983152	473989120	v00000/partitions/default/attrs/specieskey/values.arrow.spool
241.6	247.7	473983152	473989120	v00000/partitions/default/attrs/specieskey/keyword-ordinals.scratch
218.2	343.1	326472875	326475776	v00000/partitions/default/members/members-000000-002.tsmb
216.2	343.1	278538037	278544384	v00000/partitions/default/members/members-000000-001.tsmb
250.7	343.1	258407802	258412544	v00000/partitions/default/attrs/year/values.arrow
63.3	100.8	254325481	254328832	.build-tmp/band-0.pairs
101.3	250.7	251578182	251699200	.build-tmp/column-5.col
341.1	343.1	251578198	251584512	v00000/partitions/default/row-column/row-column-000000-000.tslb
249.2	250.7	243206776	243208192	v00000/partitions/default/attrs/year/values.arrow.spool
215.2	343.1	238738645	238739456	v00000/partitions/default/members/members-000000-000.tsmb
101.3	147.8	134217728	134221824	.build-tmp/column-18.arena
101.3	341.6	125789091	125796352	.build-tmp/column-0.col
290.7	294.6	125789091	125792256	.build-tmp/column-20.col
178.9	206.7	106926072	106926080	.build-tmp/member-run-0003.spill
185.9	206.7	104877317	104878080	.build-tmp/member-run-0004.spill
156.3	206.7	103977954	103981056	.build-tmp/member-run-0000.spill
171.4	206.7	101826332	101826560	.build-tmp/member-run-0002.spill
239.6	247.2	95068068	95068160	v00000/partitions/default/attrs/specieskey/keyword-run-00001.spill
232.1	247.2	93349378	93356032	v00000/partitions/default/attrs/specieskey/keyword-run-00000.spill
164.4	206.7	91434386	91439104	.build-tmp/member-run-0001.spill
101.3	147.8	67108864	67112960	.build-tmp/column-13.arena
190.9	206.7	57753458	57757696	.build-tmp/member-run-0005.spill
101.3	147.8	28633112	28635136	.build-tmp/column-12.at
101.3	147.8	28633112	28635136	.build-tmp/column-17.at
101.3	250.7	15723640	15749120	.build-tmp/column-6.present
101.3	281.7	15723640	15749120	.build-tmp/column-9.present
101.3	250.7	15723640	15740928	.build-tmp/column-4.present
101.3	341.6	15723640	15740928	.build-tmp/column-1.present
290.7	293.6	15723640	15724544	.build-tmp/column-21.present
248.7	343.1	10659604	10661888	v00000/partitions/default/attrs/specieskey/presence.roaring
101.3	147.8	7158278	7159808	.build-tmp/column-15.col
101.3	147.8	3579139	3579904	.build-tmp/column-10.col
251.2	343.1	2888122	2891776	v00000/partitions/default/attrs/year/presence.roaring
241.6	343.1	2312606	2314240	v00000/partitions/default/attrs/specieskey/dict.bin
342.1	343.1	2002256	2002944	v00000/partitions/default/containment/containment-000000-002.tscp
97.8	343.1	1056194	1056768	v00000/partitions/default/terms/pairs.parquet
101.3	147.8	447400	450560	.build-tmp/column-14.present
101.3	147.8	447400	450560	.build-tmp/column-16.present
101.3	147.8	447400	450560	.build-tmp/column-19.present
101.3	147.8	447400	450560	.build-tmp/column-11.present
342.1	343.1	367056	368640	v00000/partitions/default/containment/containment-000000-001.tscp
342.1	343.1	47524	49152	v00000/partitions/default/containment/containment-000000-000.tscp
101.3	343.1	33714	36864	v00000/partitions/default/terms/postings.arrow
97.8	343.1	27124	28672	v00000/partitions/default/entities/terms/hasrow.roaring
97.8	100.8	27825	28672	.build-tmp/postings.spool
282.2	343.1	27124	28672	v00000/partitions/default/attrs/record/hasrow.roaring
222.2	343.1	20096	20480	reports/containment.json
343.1	343.1	7280	8192	v00000/MANIFEST.json
343.1	343.1	5694	8192	v00000/partitions/default/SEGMENTS-0.json
36.9	343.1	1530	4096	v00000/dictionary/terms-0.dict
343.1	343.1	113	4096	CURRENT
