first_s	last_s	max_size	max_blocks	path
100.3	268.1	8589934592	8589942784	.build-tmp/column-8.arena
100.3	268.1	2147483648	2147487744	.build-tmp/column-3.arena
279.8	327.6	1682430130	1682436096	v00000/partitions/default/views/geo/segments/seg-0/columns.arrow
238.8	327.6	1031654690	1031659520	v00000/partitions/default/attrs/record/blocks.bin
100.3	268.1	1006312728	1006526464	.build-tmp/column-7.at
100.3	268.1	1006312728	1006493696	.build-tmp/column-2.at
8.3	185.0	1006312728	1006317568	.build-tmp/source-ids.u64
267.1	327.6	519605474	519610368	v00000/partitions/default/attrs/record/directory.arrow
185.5	326.1	517771117	517775360	.build-tmp/member-table.spill
274.1	327.6	503324672	503328768	v00000/partitions/default/views/geo/permutation.bin
55.5	326.1	503156364	503160832	.build-tmp/x-of-ordinal-0.u32
63.0	95.8	503156364	503160832	.build-tmp/x-anchor.u32
63.0	95.8	503156364	503160832	.build-tmp/y-anchor.u32
64.0	327.6	503156368	503160832	v00000/partitions/default/entities/terms/offsets.u32
64.0	327.6	503156364	503160832	v00000/partitions/default/entities/terms/terms.u32
64.0	326.1	503156364	503160832	.build-tmp/entity-of-ordinal.u32
268.6	281.3	503156364	503160832	.build-tmp/x-of-entity.u32
268.6	281.3	503156364	503160832	.build-tmp/y-of-entity.u32
273.6	327.6	503156364	503160832	v00000/partitions/default/views/geo/segments/seg-0/morton.u32
276.3	327.6	503156364	503160832	v00000/partitions/default/views/geo/row-entity.u32
325.6	327.6	503156380	503160832	v00000/partitions/default/row-column/row-column-000000-001.tslb
326.1	327.6	503156380	503160832	v00000/partitions/default/row-column/row-column-000000-002.tslb
55.5	326.1	503156364	503156736	.build-tmp/y-of-ordinal-0.u32
235.3	327.6	488795770	488800256	v00000/partitions/default/attrs/specieskey/values.arrow
229.3	234.3	473983152	473989120	v00000/partitions/default/attrs/specieskey/keyword-ordinals.scratch
213.3	234.8	473983152	473985024	v00000/partitions/default/attrs/specieskey/values.arrow.spool
210.3	327.6	326472875	326475776	v00000/partitions/default/members/members-000000-002.tsmb
207.1	327.6	278538037	278540288	v00000/partitions/default/members/members-000000-001.tsmb
100.3	145.3	268435456	268439552	.build-tmp/column-18.arena
238.3	327.6	258407802	258412544	v00000/partitions/default/attrs/year/values.arrow
64.0	99.8	254325481	254328832	.build-tmp/band-0.pairs
100.3	268.1	251578182	251691008	.build-tmp/column-5.col
325.6	327.6	251578198	251584512	v00000/partitions/default/row-column/row-column-000000-000.tslb
236.3	237.8	243206776	243212288	v00000/partitions/default/attrs/year/values.arrow.spool
206.1	327.6	238738645	238739456	v00000/partitions/default/members/members-000000-000.tsmb
100.3	326.1	125789091	125796352	.build-tmp/column-0.col
278.3	280.3	125789091	125792256	.build-tmp/column-20.col
172.3	199.5	106926072	106926080	.build-tmp/member-run-0003.spill
180.5	199.5	104877317	104878080	.build-tmp/member-run-0004.spill
153.3	199.5	103977954	103981056	.build-tmp/member-run-0000.spill
165.8	199.5	101826332	101826560	.build-tmp/member-run-0002.spill
226.8	234.3	95068068	95068160	v00000/partitions/default/attrs/specieskey/keyword-run-00001.spill
219.8	234.3	93349378	93351936	v00000/partitions/default/attrs/specieskey/keyword-run-00000.spill
159.3	199.5	91434386	91435008	.build-tmp/member-run-0001.spill
100.3	144.8	67108864	67112960	.build-tmp/column-13.arena
185.5	199.5	57753458	57753600	.build-tmp/member-run-0005.spill
100.3	144.8	28633112	28639232	.build-tmp/column-12.at
100.3	145.3	28633112	28639232	.build-tmp/column-17.at
100.3	268.1	15723640	15740928	.build-tmp/column-6.present
100.3	268.1	15723640	15740928	.build-tmp/column-4.present
100.3	326.1	15723640	15740928	.build-tmp/column-1.present
100.3	268.1	15723640	15740928	.build-tmp/column-9.present
278.3	279.3	15723640	15724544	.build-tmp/column-21.present
235.3	327.6	10659604	10661888	v00000/partitions/default/attrs/specieskey/presence.roaring
100.3	145.3	7158278	7159808	.build-tmp/column-15.col
100.3	144.8	3579139	3579904	.build-tmp/column-10.col
238.3	327.6	2888122	2891776	v00000/partitions/default/attrs/year/presence.roaring
229.3	327.6	2312606	2314240	v00000/partitions/default/attrs/specieskey/dict.bin
326.6	327.6	2002256	2002944	v00000/partitions/default/containment/containment-000000-002.tscp
96.8	327.6	1056194	1056768	v00000/partitions/default/terms/pairs.parquet
100.3	145.3	447400	450560	.build-tmp/column-14.present
100.3	145.3	447400	450560	.build-tmp/column-16.present
100.3	145.3	447400	450560	.build-tmp/column-19.present
100.3	144.8	447400	450560	.build-tmp/column-11.present
326.6	327.6	367056	368640	v00000/partitions/default/containment/containment-000000-001.tscp
326.6	327.6	47524	49152	v00000/partitions/default/containment/containment-000000-000.tscp
100.3	327.6	33714	36864	v00000/partitions/default/terms/postings.arrow
96.3	327.6	27124	28672	v00000/partitions/default/entities/terms/hasrow.roaring
96.8	99.8	27825	28672	.build-tmp/postings.spool
267.6	327.6	27124	28672	v00000/partitions/default/attrs/record/hasrow.roaring
213.3	327.6	20096	20480	reports/containment.json
327.6	327.6	7280	8192	v00000/MANIFEST.json
327.6	327.6	5694	8192	v00000/partitions/default/SEGMENTS-0.json
37.4	327.6	1530	4096	v00000/dictionary/terms-0.dict
327.6	327.6	113	4096	CURRENT
